ID | Category | Parameter | A/C
50 | Contact Info | Company Phone Number | Atomic
51 | Contact Info | Primary Contact Person's Name | Atomic
52 | Contact Info | Primary Contact Person's Title | Atomic
53 | Contact Info | Primary Contact Person's Email | Atomic
54 | Contact Info | Primary Contact Person's Phone Number | Atomic
55 | Reputation | Awards & Recognitions | Composite
56 | Reputation | Brand Sentiment Score | Atomic
57 | Reputation | Event Participation | Composite
58 | Risk & Compliance | Regulatory & Compliance Status | Composite
59 | Risk & Compliance | Legal Issues / Controversies | Atomic
60 | Financials | Annual Revenues | Atomic
61 | Financials | Annual Profits | Atomic
62 | Financials | Revenue Mix | Composite
63 | Financials | Company Valuation | Atomic
64 | Financials | Year-over-Year Growth Rate | Atomic
65 | Financials | Profitability Status | Atomic
66 | Financials | Market Share (%) | Atomic
67 | Funding | Key Investors / Backers | Composite
68 | Funding | Recent Funding Rounds | Composite
69 | Funding | Total Capital Raised | Atomic
70 | Sustainability | ESG Practices or Ratings | Composite
71 | Sales & Growth | Sales Motion | Atomic
72 | Sales & Growth | Customer Acquisition Cost (CAC) | Atomic
73 | Sales & Growth | Customer Lifetime Value (CLV) | Atomic
74 | Sales & Growth | CAC:LTV Ratio | Atomic
75 | Sales & Growth | Churn Rate | Atomic
76 | Sales & Growth | Net Promoter Score (NPS) | Atomic
77 | Sales & Growth | Customer Concentration Risk | Atomic
78 | Sales & Growth | Burn Rate | Atomic
79 | Sales & Growth | Runway | Atomic
80 | Sales & Growth | Burn Multiplier | Atomic
81 | Innovation | Intellectual Property | Composite
82 | Innovation | R&D Investment | Atomic
83 | Innovation | AI/ML Adoption Level | Atomic
84 | Operations | Tech Stack/Tools Used | Composite
85 | Operations | Cybersecurity Posture | Composite
86 | Operations | Supply Chain Dependencies | Composite
87 | Operations | Geopolitical Risks | Composite
88 | Operations | Macro Risks | Composite
89 | People & Talent | Diversity Metrics | Composite
90 | People & Talent | Remote Work Policy | Atomic
91 | People & Talent | Training/Development Spend | Atomic
92 | Market | Partnership Ecosystem | Composite
93 | Market | Exit Strategy/History | Composite
94 | Sustainability | Carbon Footprint/Environmental Impact | Atomic
95 | Sustainability | Ethical Sourcing Practices | Composite
96 | Benchmarking | Benchmark vs. Peers | Composite
97 | Forecasting | Future Projections | Atomic
98 | Forecasting | Strategic Priorities | Composite
99 | Network | Industry Associations / Memberships | Composite
100 | Proof Points | Case Studies / Public Success Stories | Composite
101 | Go-to-Market | Go-to-Market Strategy | Composite
102 | Innovation | Innovation Roadmap | Composite
103 | Innovation | Product Pipeline | Composite
104 | Governance | Board of Directors / Advisors | Composite
105 | Digital Presence | Company Introduction / Marketing videos | Composite
106 | Proof Points | Customer testimonial | Composite
107 | Benchmarking | Industry Benchmark Technology Adoption Rating | Composite
108 | Market | Total Addressable Market (TAM) | Atomic
109 | Market | Serviceable Addressable Market (SAM) | Atomic
110 | Market | Serviceable Obtainable Market (SOM) | Atomic
111 | Culture & People | Work culture | Composite
112 | Culture & People | Manager quality | Atomic
113 | Culture & People | Psychological safety | Atomic
114 | Culture & People | Feedback culture | Composite
115 | Culture & People | Diversity & inclusion | Composite
116 | Culture & People | Ethical standards | Composite
117 | Work–Life Balance & Work Patterns | Typical working hours | Atomic
118 | Work–Life Balance & Work Patterns | Overtime expectations | Atomic
119 | Work–Life Balance & Work Patterns | Weekend work | Atomic
120 | Work–Life Balance & Work Patterns | Remote / hybrid / on-site flexibility | Composite
121 | Work–Life Balance & Work Patterns | Leave policy | Composite
122 | Work–Life Balance & Work Patterns | Burnout risk | Atomic
123 | Location, Commute & Accessibility | Central vs peripheral location | Atomic
124 | Location, Commute & Accessibility | Public transport access | Composite
125 | Location, Commute & Accessibility | Cab availability and company cab policy | Composite
126 | Location, Commute & Accessibility | Commute time from airport | Atomic
127 | Location, Commute & Accessibility | Office zone type | Atomic
128 | Safety & Well-being | Area safety | Composite
129 | Safety & Well-being | Company safety policies | Composite
130 | Safety & Well-being | Office infrastructure safety | Composite
131 | Safety & Well-being | Emergency response preparedness | Composite
132 | Safety & Well-being | Health support | Composite
133 | Learning & Growth Opportunities | Onboarding and training quality | Atomic
134 | Learning & Growth Opportunities | Learning culture | Composite
135 | Learning & Growth Opportunities | Exposure quality | Atomic
136 | Learning & Growth Opportunities | Mentorship availability | Composite
137 | Learning & Growth Opportunities | Internal mobility | Atomic
138 | Learning & Growth Opportunities | Promotion clarity | Composite
139 | Learning & Growth Opportunities | Tools and technology access | Composite
140 | Role & Work Quality | Role clarity | Atomic
141 | Role & Work Quality | Early ownership | Atomic
142 | Role & Work Quality | Work impact | Composite
143 | Role & Work Quality | Execution vs thinking balance | Atomic
144 | Role & Work Quality | Automation level | Atomic
145 | Role & Work Quality | Cross-functional exposure | Composite
146 | Company Stability & Reputation | Company maturity | Atomic
147 | Company Stability & Reputation | Brand value | Atomic
148 | Company Stability & Reputation | Client quality | Composite
149 | Company Stability & Reputation | Layoff history | Atomic
150 | Compensation & Benefits | Fixed vs variable pay | Atomic
151 | Compensation & Benefits | Bonus predictability | Atomic
152 | Compensation & Benefits | ESOPs and long-term incentives | Composite
153 | Compensation & Benefits | Family health insurance | Composite
154 | Compensation & Benefits | Relocation support | Composite
155 | Compensation & Benefits | Lifestyle and wellness benefits | Composite
156 | Long-Term Career Signaling | Exit opportunities | Composite
157 | Long-Term Career Signaling | Skill relevance | Atomic
158 | Long-Term Career Signaling | External recognition | Atomic
159 | Long-Term Career Signaling | Network strength | Composite
160 | Long-Term Career Signaling | Global exposure | Composite
161 | Values Alignment | Mission clarity | Atomic
162 | Values Alignment | Sustainability and CSR | Composite
163 | Values Alignment | Crisis behavior | Atomic
